Restaurant_Name,Rating,Area,Dishes,Amount,Location,Restaurant_Discount,discount_value,final_bill
Palms n Sands,4.1,Candolim,Multicuisine,2000,goa,0,0.00,2000.00
Niche Bistro,5.0,Calangute,European,1500,goa,20,675.00,825.00
The Fisherman's Wharf,4.2,Calangute,Goan,1100,goa,0,0.00,1100.00
Kailash Parbat,4.7,Candolim,North Indian,600,goa,0,0.00,600.00
Sizzler House,5.0,Anjuna Vagator Road,Multicuisine,700,goa,25,350.00,350.00
Pepper Bar and Restaurant,4.0,Le Seasons Resort,Multicuisine,1200,goa,40,780.00,420.00
You & Me,3.5,Baga,Multicuisine,900,goa,25,450.00,450.00
Elrow Ocean Front,2.8,Calangute Baga Road,Asian,2000,goa,25,1000.00,1000.00
Saffron,4.4,Arpora,Multicuisine,800,goa,25,400.00,400.00
Saipe,5.0,Hilton Goa Resort,Multicuisine,2400,goa,35,1440.00,960.00
Samudra Family Restaurant & Bar,5.0,Calangute,South Indian,500,goa,10,175.00,325.00
Bean me Up,5.0,Vagator,Multicuisine,1200,goa,25,600.00,600.00
Hibiscus,1.0,Arpora,Multicuisine,1000,goa,35,600.00,400.00
Just Lobo's,4.7,Calangute,"Goan, Multicuisine",1000,goa,20,450.00,550.00
Musuh- The Fire Place,4.0,Calangute,Multicuisine,600,goa,30,330.00,270.00
De Little Goa,4.0,Calangute,Indian,1500,goa,15,600.00,900.00
Pickled Mango,5.0,Bardez,Multicuisine,1600,goa,25,800.00,800.00
The Square,5.0,Novotel Goa Shrem Hotel,Multicuisine,2000,goa,25,1000.00,1000.00
Brisa Do Mar,4.8,Candolim,Mediterranean,1800,goa,50,1350.00,450.00
La Cucina,4.8,Morjim,Italian,1500,goa,25,750.00,750.00
Angry Sardar Courtyard,4.5,Anjuna,North Indian,1200,goa,15,480.00,720.00
LOVE THE PARK,4.1,The Park Calangute Goa,Multicuisine,1200,goa,35,720.00,480.00
Deck 88,4.0,The Astor Goa,Indian Coastal Cuisine,2500,goa,35,1500.00,1000.00
Neighbors,4.5,Anjuna Mapusa Assagao Road,European,1800,goa,10,630.00,1170.00
The Cube,4.0,Calangute,Multicuisine,1000,goa,15,400.00,600.00
Wow! Momo,4.0,Candolim,Momos,400,goa,30,220.00,180.00
Free 2 Fly,4.0,Baga,Multicuisine,2000,goa,10,700.00,1300.00
Tribe,4.0,Renest Calangute,Multicuisine,1000,goa,10,350.00,650.00
Pineapple Villa By Raddish,4.0,Arpora,Multicuisine,800,goa,10,280.00,520.00
Medallion,4.0,Calangute,"Asian, Thai, Chinese",650,goa,10,227.50,422.50
The Palms,4.5,Radisson Goa Candolim,Multicuisine,1400,goa,30,770.00,630.00
Peace,4.4,The Park Calangute Goa,Multicuisine,1500,goa,25,750.00,750.00
Biryani By Kilo,4.3,Panaji,"Biryani, Hyderabadi, Mughlai",900,goa,40,585.00,315.00
