Restaurant_Name,Rating,Area,Dishes,Amount,Discount
Skyza,4.3,"C Scheme, Jaipur","Cocktail Menu, Multicuisine",₹ 1200 for two approx.,20% Off + 25% Off
Tan-Sukh,4.4,"C Scheme, Jaipur  | View All(9) Outlets",Multicuisine,₹ 800 for two approx.,20% Off + 25% Off
Chawla's MI Road (Since 1960),4.0,"MI Road, Jaipur",Multicuisine,₹ 1500 for two approx.,20% Off + 25% Off
The Baradari,4.4,"Pink City, Jaipur",Multicuisine,₹ 2000 for two approx.,10% Off + 25% Off
Rustic by OTH,3.0,"C Scheme, Jaipur  | View All(2) Outlets","Chinese, Continental",₹ 1000 for two approx.,15% Off + 25% Off
The Great Kabab Factory,4.5,"Radisson Jaipur City Center, Jaipur","Cocktail Menu, Mughlai",₹ 1700 for two approx.,25% Off + 25% Off
14 Tables,4.5,"MI Road, Jaipur",Multicuisine,₹ 1600 for two approx.,25% Off + 25% Off
Ten Kings Bar,5.0,"Holiday Inn Jaipur City Centre, Jaipur","Cocktail Menu, Finger Food",₹ 1800 for two approx.,30% Off + 25% Off
Jaipur Local,4.3,"Lemon Tree Premier, Jaipur",Multicuisine,₹ 2000 for two approx.,15% Off + 25% Off
Chaandi,4.4,"Hilton Jaipur, Jaipur","Indian, Cocktail Menu",₹ 3000 for two approx.,25% Off + 25% Off
Gulabi Nagari,4.2,"Bani Park, Jaipur","North Indian, Chinese",₹ 1200 for two approx.,10% Off + 25% Off
Krystal Bar,4.7,"Hilton Jaipur, Jaipur",Cocktail Menu,₹ 2500 for two approx.,25% Off + 25% Off
Jaipur Adda,4.8,"Nirwana Hometel, Jaipur",Modern Indian,₹ 1200 for two approx.,20% Off + 25% Off
Garden Grille,4.0,DoubleTree by Hilton Jaipur Amer,Barbeque,₹ 2000 for two approx.,25% Off + 25% Off
The Bakery,4.0,"Holiday Inn Jaipur City Centre, Jaipur",Bakery,₹ 1200 for two approx.,25% Off + 25% Off
Paro - Modern Indian Bar,4.2,"C Scheme, Jaipur",Indian,₹ 2000 for two approx.,20% Off + 25% Off
Sangria,4.9,"MI Road, Jaipur","Finger Food, Multicuisine",₹ 1000 for two approx.,30% Off + 25% Off
